id;imdb_id;popularity;budget;revenue;original_title;cast;homepage;director;tagline;keywords;overview;runtime;genres;production_companies;release_date;vote_count;vote_average;release_year;budget_adj;revenue_adj
76757;tt1617661;6.189369;176000003;183987723;Jupiter Ascending;Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth;http://www.jupiterascending.com;Lana Wachowski|Lilly Wachowski;Expand your universe.;jupiter|space|woman director|3d|interspecies romance;In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦;124;Science Fiction|Fantasy|Action|Adventure;Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.;02/04/2015;1937;5.2;2015;161919931.5;169268630.7
264660;tt0470752;6.118847;15000000;36869414;Ex Machina;Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson;http://exmachina-movie.com/;Alex Garland;There is nothing more human than the will to survive;dancing|artificial intelligence|helicopter|distrust|isolation;Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.;108;Drama|Science Fiction;DNA Films|Universal Pictures International (UPI)|Film4;1/21/2015;2854;7.6;2015;13799993.93;33919845.96
257344;tt2120120;5.984995;88000000;243637091;Pixels;Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James;http://www.pixels-movie.com/;Chris Columbus;Game On.;video game|nerd|alien attack|3d|pixels;Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.;105;Action|Comedy|Science Fiction;Columbia Pictures|Happy Madison Productions;7/16/2015;1575;5.8;2015;80959964.38;224146025.1
99861;tt2395427;5.944927;280000000;1405035767;Avengers: Age of Ultron;Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson;http://marvel.com/movies/movie/193/avengers_age_of_ultron;Joss Whedon;A New Age Has Come.;marvel comic|comic|sequel|superhero|vision;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;141;Action|Adventure|Science Fiction;Marvel Studios|Prime Focus|Revolution Sun Studios;4/22/2015;4304;7.4;2015;257599886.7;1292632337
273248;tt3460252;5.8984;44000000;155760117;The Hateful Eight;Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir;http://thehatefuleight.com/;Quentin Tarantino;No one comes up here without a damn good reason.;bounty hunter|wyoming|mountains|hangman|voice over narration;Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.;167;Crime|Drama|Mystery|Western;Double Feature Films|The Weinstein Company|FilmColony;12/25/2015;2389;7.4;2015;40479982.19;143299244.6
260346;tt2446042;5.749758;48000000;325771424;Taken 3;Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott;http://www.taken3movie.com/;Olivier Megaton;It Ends Here;revenge|murder|on the run|fugitive|framed;Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.;109;Crime|Action|Thriller;Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+;01/01/2015;1578;6.1;2015;44159980.57;299709578.2
102899;tt0478970;5.573184;130000000;518602163;Ant-Man;Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale;http://marvel.com/movies/movie/180/ant-man;Peyton Reed;Heroes Don't Get Any Bigger;marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe;Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.;115;Science Fiction|Action|Adventure;Marvel Studios;7/14/2015;3779;7;2015;119599947.4;477113780
150689;tt1661199;5.556818;95000000;542351353;Cinderella;Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger;;Kenneth Branagh;Midnight is just the beginning.;cinderella|magic|fairy tale|princess|shoe;When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.;112;Romance|Fantasy|Family|Drama;Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions;03/12/2015;1495;6.8;2015;87399961.54;498963025.2
131634;tt1951266;5.476958;160000000;650523427;The Hunger Games: Mockingjay - Part 2;Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks;http://www.thehungergames.movie/;Francis Lawrence;The fire will burn forever.;revolution|strong woman|dystopia|game of death|3d;With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.;136;War|Adventure|Science Fiction;Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force;11/18/2015;2380;6.5;2015;147199935.2;598481289.5
158852;tt1964418;5.462138;190000000;209035668;Tomorrowland;Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie;http://movies.disney.com/tomorrowland;Brad Bird;Imagine a world where nothing is impossible.;inventor|apocalypse|destiny|imax|dreamer;"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""";130;Action|Family|Science Fiction|Adventure|Mystery;Walt Disney Pictures|Babieka|A113;5/19/2015;1899;6.2;2015;174799923.1;192312729.9
307081;tt1798684;5.337064;30000000;91709827;Southpaw;Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent;;Antoine Fuqua;Believe in Hope.;sport;"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.";123;Action|Drama;Escape Artists|Riche-Ludwig Productions;6/15/2015;1386;7.3;2015;27599987.86;84373003.72
254128;tt2126355;4.907832;110000000;470490832;San Andreas;Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi;http://www.sanandreasmovie.com/;Brad Peyton;A rescue pilot survived an earthquake, this is what happens next;california|earthquake|catastrophe|disaster film|3d;In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.;114;Action|Drama|Thriller;New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company;5/27/2015;2060;6.1;2015;101199955.5;432851375
216015;tt2322441;4.710402;40000000;569651467;Fifty Shades of Grey;Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk;https://www.facebook.com/fiftyshadesofgreymovie;Sam Taylor-Johnson;Are you curious?;based on novel|billionaire|bdsm|woman director|erotic movie;When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.;125;Drama|Romance;Focus Features|Trigger Street Productions|Michael De Luca Productions;02/11/2015;1865;5.3;2015;36799983.81;524079119
318846;tt1596363;4.648046;28000000;133346506;The Big Short;Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo;http://www.thebigshortmovie.com/;Adam McKay;This is a true story.;bank|fraud|biography|wall street|finances;The men who made millions from a global economic meltdown.;130;Comedy|Drama;Paramount Pictures|Plan B Entertainment|Regency Enterprises;12/11/2015;1545;7.3;2015;25759988.67;122678731.5
177677;tt2381249;4.566713;150000000;682330139;Mission: Impossible - Rogue Nation;Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames;http://www.missionimpossible.com;Christopher McQuarrie;Desperate Times. Desperate Measures.;spy|sequel|mission;Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.;131;Action;Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions;7/23/2015;2349;7.1;2015;137999939.3;627743451.7
214756;tt2637276;4.564549;68000000;215863606;Ted 2;Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi;;Seth MacFarlane;Ted is Coming, Again.;sperm bank|sequel|buddy|courthouse|teddy bear;Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.;115;Comedy;Universal Pictures|Media Rights Capital|Fuzzy Door Productions;6/25/2015;1666;6.3;2015;62559972.47;198594430.1
207703;tt2802144;4.503789;81000000;403802136;Kingsman: The Secret Service;Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong;http://www.kingsmanmovie.com/;Matthew Vaughn;Manners maketh man.;spy|great britain|secret organization|secret agent|marvel comic;The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.;130;Crime|Comedy|Action|Adventure;Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions;1/24/2015;3833;7.6;2015;74519967.21;371497801.7
314365;tt1895587;4.062293;20000000;88346473;Spotlight;Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery;http://www.spotlightthefilm.com;Tom McCarthy;Break the story. Break the silence.;child abuse|journalism|judge|florida|boston;The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.;128;Drama|Thriller|History;Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features;11/06/2015;1559;7.8;2015;18399991.9;81278719.4
294254;tt4046784;3.968891;61000000;311256926;Maze Runner: The Scorch Trials;Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen;http://mazerunnermovies.com;Wes Ball;The Maze Was Just the Beginning.;based on novel|resistance|maze|post-apocalyptic|dystopia;Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKDâ€™s vastly superior forces and uncover its shocking plans for them all.;132;Action|Science Fiction|Thriller;Gotham Group|Temple Hill Entertainment|TSG Entertainment;09/09/2015;1849;6.4;2015;56119975.31;286356245.9
280996;tt3168230;3.927333;0;29355203;Mr. Holmes;Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy;http://www.mrholmesfilm.com/;Bill Condon;The man behind the myth;london|detective|sherlock holmes;The story is set in 1947, following a long-retired Holmes living in a Sussex village with his housekeeper and rising detective son. But then he finds himself haunted by an unsolved 50-year old case. Holmes' memory isn't what it used to be, so he only remembers fragments of the case: a confrontation with an angry husband, a secret bond with his beautiful but unstable wife.;103;Mystery|Drama;BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film;6/19/2015;425;6.4;2015;0;27006774.88
198184;tt1823672;3.899557;49000000;102069268;Chappie;Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo;http://www.chappie-movie.com;Neill Blomkamp;I am consciousness. I am alive. I am Chappie.;artificial intelligence|android|robot|near future|robot cop;Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.;120;Crime|Action|Science Fiction;Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films;03/04/2015;1990;6.6;2015;45079980.16;93903685.24
254470;tt2848292;3.877764;29000000;287506194;Pitch Perfect 2;Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin;;Elizabeth Banks;We're back pitches;music|sequel|singer|male female relationship|audition;The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.;115;Comedy|Music;Universal Pictures|Gold Circle Films|Brownstone Productions;05/07/2015;1264;6.8;2015;26679988.26;264505582.1
296098;tt3682448;3.64821;40000000;162610473;Bridge of Spies;Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch;;Steven Spielberg;In the shadow of war, one man showed the world what we stood for.;spy|cia|cold war|pilot|lawyer;During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.;141;Thriller|Drama;DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions;10/15/2015;1638;7.1;2015;36799983.81;149601569.3
257445;tt1051904;3.644541;58000000;150170815;Goosebumps;Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell;http://www.goosebumps-movie.com/;Rob Letterman;The stories are alive.;based on novel|magic|fantasy|family|3d;A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.;103;Adventure|Horror|Comedy;Columbia Pictures|Original Film|Scholastic Entertainment;08/05/2015;600;6.2;2015;53359976.52;138157089
264644;tt3170832;3.557846;6000000;35401758;Room;Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy;http://www.roomthemovie.com;Lenny Abrahamson;Love knows no boundaries;based on novel|carpet|isolation|imprisonment|grandparents;Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?;117;Drama|Thriller;Element Pictures|No Trace Camping|A24|Duperele Films;10/16/2015;1520;8;2015;5519997.571;32569603.03
339527;tt1291570;3.358321;0;22354572;Solace;Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton;;Afonso Poyart;A serial killer who can see your future, a psychic who can save it;thriller|serial killer|psychic|fbi agent|intrigue;A psychic doctor, John Clancy, works with an FBI special agent in search of a serial killer. After having lived in isolation for two years, since the death of his daughter, Clancy is asked by his friend Joe, an FBI special agent to help him solve several murders committed by a serial killer.;101;Crime|Drama|Mystery;Eden Rock Media|FilmNation Entertainment|Flynn Picture Company;09/03/2015;474;6.2;2015;0;20566197.19
105864;tt1979388;3.339135;175000000;331926147;The Good Dinosaur;Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla;http://movies.disney.com/the-good-dinosaur;Peter Sohn;Little Arms With Big Attitude;tyrannosaurus rex|friends|animation|alternate history|dinosaur;An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.;93;Adventure|Animation|Comedy|Family|Fantasy;Walt Disney Pictures|Pixar Animation Studios|Buena Vista;11/14/2015;1087;6.6;2015;160999929.2;305371920.9
241554;tt2199571;3.23737;50000000;71561644;Run All Night;Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill;;Jaume Collet-Serra;No sin goes unpunished;hitman|revenge|murder|on the run|mobster;Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his pastâ€”as well as a dogged police detective whoâ€™s been one step behind Jimmy for 30 years. But when Jimmyâ€™s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.;114;Action|Crime|Drama|Mystery|Thriller;Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment;03/11/2015;814;6.3;2015;45999979.76;65836683.51
167073;tt2381111;3.227329;11000000;62076141;Brooklyn;Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins;http://www.foxsearchlight.com/brooklyn/;John Crowley;Two countries, two loves, one heart;love triangle|based on novel|homesickness|vororte|ship;In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.;111;Drama|Romance;Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions;11/04/2015;754;7.3;2015;10119995.55;57110024.59
277216;tt1398426;3.202719;28000000;201634991;Straight Outta Compton;O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge;http://www.straightouttacompton.com/;F. Gary Gray;The Story of N.W.A.;brother brother relationship|aids|police brutality|hip-hop|wife husband relationship;In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebelsâ€”armed only with their lyrics, swagger, bravado and raw talentâ€”stood up to the authorities that meant to keep them down and formed the worldâ€™s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.;147;Drama|Music;New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz;8/13/2015;918;7.7;2015;25759988.67;185504110.1
274854;tt1618442;3.080505;90000000;140396650;The Last Witch Hunter;Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson;http://www.thelastwitchhunter.movie/;Breck Eisner;Hunt forever.;new york|witch|uprising|witch hunter;The modern world holds many secrets, but by far the most astounding is that witches still live among us;;;;;;;;;
321697;tt2080374;3.079522;30000000;34441873;Steve Jobs;Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels;http://www.stevejobsthefilm.com;Danny Boyle;;biography|computer|based on true story|father daughter relationship|apple computer;Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.;122;History|Drama;Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360;10/09/2015;1035;6.9;2015;27599987.86;31686509.22
203801;tt1638355;3.053421;75000000;108145109;The Man from U.N.C.L.E.;Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani;;Guy Ritchie;Saving the world never goes out of style.;spy|cold war|remake|based on tv series|buddy cop;At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.;116;Comedy|Action|Adventure;Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment;8/13/2015;1548;7;2015;68999969.64;99493456.5
293863;tt1655441;3.025852;25000000;42629776;The Age of Adaline;Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker;http://theageofadalinemovie.com;Lee Toland Krieger;Love is timeless.;san francisco|immortality|love|forever;After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.;112;Fantasy|Drama|Romance;Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity;4/16/2015;1221;7.3;2015;22999989.88;39219376.66
325348;tt3072482;3.023253;10000000;14333790;Hardcore Henry;Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev;http://stxmovies.com/hardcorehenry/;Ilya Naishuller;First they made him dangerous. Then they made him mad.;female nudity|cyborg|nudity|murder|gore;Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.;97;Action|Adventure|Science Fiction;Bazelevs Production|Versus Pictures;09/12/2015;396;5.9;2015;9199995.952;13187081
